CommandLine, Time, Executable, Parent PID, PID,User, Privileges
None. 20210302143747.842090+120, None, 1640, 19696, (None, 2, None),N/A
C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}. 20210302143805.477511+120, C:\WINDOWS\system32\DllHost.exe, 816, 20392, ('WOOBLYCAT', 0, 'vuong'),N/A
"C:\Program Files\Notepad++\notepad++.exe" . 20210302143814.061957+120, None, 16272, 5304, ('WOOBLYCAT', 0, 'vuong'),N/A
"C:\WINDOWS\system32\SearchProtocolHost.exe" Global\UsGthrFltPipeMssGthrPipe_S-1-5-21-136496621-3006588302-1441616715-1002466_ Global\UsGthrCtrlFltPipeMssGthrPipe_S-1-5-21-136496621-3006588302-1441616715-1002466 1 -2147483646 "Software\Microsoft\Windows Search" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)" "C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc" "DownLevelDaemon"  "1". 20210302143833.996096+120, C:\WINDOWS\system32\SearchProtocolHost.exe, 1640, 10060, ('WOOBLYCAT', 0, 'vuong'),N/A
"D:\Oracle\VirtualBox\VirtualBox.exe" . 20210302144002.298990+120, D:\Oracle\VirtualBox\VirtualBox.exe, 16272, 7484, ('WOOBLYCAT', 0, 'vuong'),N/A
None. 20210302144003.441455+120, None, 1640, 4272, (None, 2, None),N/A
None. 20210302144003.410769+120, None, 1640, 7800, (None, 2, None),N/A
"D:\Oracle\VirtualBox\VBoxSVC.exe" -Embedding. 20210302144004.295149+120, D:\Oracle\VirtualBox\VBoxSVC.exe, 816, 11564, ('WOOBLYCAT', 0, 'vuong'),N/A
None. 20210302144005.041305+120, None, 964, 1984, (None, 2, None),N/A
None. 20210302144004.599004+120, None, 964, 9404, (None, 2, None),N/A
D:\Oracle\VirtualBox\VirtualBoxVM.exe --comment "Kali Linux" --startvm e377e9c0-3da9-49f7-82ac-f2ca92e9f36d --no-startvm-errormsgbox "--sup-hardening-log=D:\VirtualBox VMs\Kali Linux\Logs\VBoxHardening.log". 20210302144013.490045+120, D:\Oracle\VirtualBox\VirtualBoxVM.exe, 11564, 17732, ('WOOBLYCAT', 0, 'vuong'),N/A
60eaff78-4bdd-042d-2e72-669728efd737-suplib-3rdchild --comment "Kali Linux" --startvm e377e9c0-3da9-49f7-82ac-f2ca92e9f36d --no-startvm-errormsgbox "--sup-hardening-log=D:\VirtualBox VMs\Kali Linux\Logs\VBoxHardening.log". 20210302144016.241378+120, D:\Oracle\VirtualBox\VirtualBoxVM.exe, 19148, 12240, ('WOOBLYCAT', 0, 'vuong'),N/A
60eaff78-4bdd-042d-2e72-669728efd737-suplib-2ndchild --comment "Kali Linux" --startvm e377e9c0-3da9-49f7-82ac-f2ca92e9f36d --no-startvm-errormsgbox "--sup-hardening-log=D:\VirtualBox VMs\Kali Linux\Logs\VBoxHardening.log". 20210302144015.790316+120, D:\Oracle\VirtualBox\VirtualBoxVM.exe, 17732, 19148, ('WOOBLYCAT', 0, 'vuong'),N/A
None. 20210302144022.178190+120, None, 964, 5132, (None, 2, None),N/A
"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --field-trial-handle=1668,1840232426750307311,234583931781998212,131072 --lang=en-US --extension-process --origin-trial-disabled-features=SecurePaymentConfirmation --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=221 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5656 /prefetch:1. 20210302144046.702837+120, C:\Program Files (x86)\Google\Chrome\Application\chrome.exe, 11160, 18732, ('WOOBLYCAT', 0, 'vuong'),N/A
